Altitude [m],Time [s]
2041.97,16.45
2042.02,16.532
2042.48,16.613
2042.29,16.694
2042.15,16.775
2041.99,16.858
2041.99,16.939
2042.28,17.019
2042.39,17.1
2042.27,17.182
2042.22,17.263
2042.38,17.344
2042.38,17.425
2042.16,17.508
2041.96,17.589
2042.05,17.67
2042.25,17.751
2042.07,17.832
2042.07,17.913
2042.21,17.994
2042.05,18.075
2041.9,18.158
2042.11,18.239
2042.16,18.321
2042.16,18.402
2041.98,18.483
2042.07,18.564
2042.11,18.644
2042.16,18.725
2042.15,18.809
2042.15,18.89
2042.13,18.971
2042.02,19.052
2042.2,19.133
2042.35,19.214
2042.37,19.295
2042.37,19.376
2042.18,19.458
2042.25,19.535
2042.32,19.616
2041.97,19.698
2041.84,19.779
2041.84,19.86
2041.9,19.941
2041.74,20.022
2041.72,20.103
2041.95,20.187
2041.77,20.268
2041.77,20.348
2041.81,20.429
2041.95,20.51
2042.02,20.591
2041.94,20.672
2042.06,20.753
2042.06,20.837
2042.08,20.918
2041.94,20.999
2042.03,21.08
2042.03,21.16
2042.14,21.241
2042.14,21.322
2041.86,21.403
2041.94,21.486
2042.07,21.568
2042,21.649
2041.89,21.73
2041.89,21.811
2041.79,21.892
2041.8,21.972
2041.84,22.053
2041.87,22.137
2041.85,22.218
2041.85,22.299
2041.41,22.38
2041.64,22.461
2041.57,22.542
2041.64,22.623
2041.53,22.704
2041.43,22.787
2041.46,22.867
2041.43,22.949
2041.64,23.03
2041.43,23.111
2041.18,23.192
2041.18,23.273
2041.57,23.354
2041.53,23.435
2041.44,23.518
2041.7,23.6
2041.54,23.681
2041.52,23.761
2041.52,23.842
2041.46,23.923
2041.58,24.004
2041.68,24.085
2041.44,24.168
2041.51,24.25
2041.51,24.331
2041.46,24.412
2041.37,24.493
2041.33,24.573
2041.46,24.654
2041.36,24.735
2041.36,24.819
2041.64,24.9
2041.49,24.981
2041.59,25.062
2041.39,25.143
2041.56,25.224
2041.56,25.305
2041.3,25.385
2041.47,25.469
2041.53,25.55
2041.43,25.631
2041.58,25.712
2041.58,25.793
2041.69,25.874
2041.49,25.955
2041.46,26.036
2041.48,26.12
2041.66,26.201
2041.66,26.281
2041.39,26.362
2041.77,26.443
2041.62,26.524
2041.61,26.605
2041.62,26.686
2041.62,26.77
2041.52,26.851
2041.48,26.932
2041.4,27.013
2041.56,27.094
2041.48,27.174
2041.48,27.255
2041.56,27.336
2041.32,27.42
2041.47,27.501
2041.32,27.582
2041.56,27.663
2041.56,27.744
2041.88,27.825
2041.63,27.906
2041.62,27.986
2041.72,28.07
2041.48,28.151
2041.48,28.232
2041.51,28.313
2041.45,28.394
2041.85,28.475
2041.7,28.556
2041.53,28.637
2041.53,28.718
2041.52,28.802
2041.43,28.882
2041.62,28.963
2041.65,29.045
2041.66,29.126
2041.66,29.207
2041.63,29.288
2041.53,29.369
2041.43,29.453
2041.09,29.534
2041.38,29.615
2041.33,29.696
2041.33,29.776
2041.25,29.857
2041.46,29.939
2041.41,30.02
2041.51,30.103
2041.46,30.184
2041.46,30.266
2041.44,30.347
2041.52,30.428
2041.21,30.509
2041.23,30.589
2041.45,30.67
2041.45,30.754
2041.54,30.835
2041.32,30.916
2041.3,30.997
2041.35,31.078
2041.43,31.159
2041.43,31.24
2041.41,31.322
2041.52,31.405
2041.54,31.485
2041.36,31.566
2041.64,31.647
2041.64,31.729
2041.38,31.81
2041.42,31.891
2041.16,31.972
2041.52,32.056
2041.04,32.137
2041.04,32.218
2041.33,32.299
2041.16,32.379
2041.04,32.46
2041.18,32.541
2040.45,32.622
2040.45,32.706
2040.45,32.787
2040.34,32.868
2040.21,32.95
2040.12,33.031
2039.7,33.112
2039.7,33.192
2039.65,33.273
2039.21,33.357
2039.08,33.438
2038.77,33.519
2038.61,33.6
2038.43,33.681
2038.43,33.763
2038.44,33.844
2037.98,33.925
2037.97,34.008
2037.61,34.088
2037.45,34.169
2037.45,34.251
2037.25,34.332
2037,34.413
2037.38,34.494
2037.55,34.575
2038.28,34.659
2038.28,34.74
2038.69,34.821
2039.07,34.902
2039.55,34.982
2040.39,35.064
2040.77,35.145
2040.77,35.226
2041.13,35.307
2041.49,35.391
2041.88,35.472
2042.04,35.553
2042.29,35.634
2042.29,35.715
2042.37,35.795
2042.5,35.876
2042.77,35.958
2042.63,36.041
2043.29,36.122
2043.29,36.204
2043.53,36.285
2043.77,36.366
2043.8,36.447
2044.21,36.528
2043.96,36.609
2043.96,36.692
2044.36,36.773
2044.75,36.854
2044.68,36.935
2044.94,37.016
2045.21,37.097
2045.21,37.179
2045.62,37.26
2045.5,37.343
2045.93,37.425
2046.01,37.506
2046.15,37.586
2046.27,37.667
2046.27,37.748
2046.48,37.829
2046.96,37.911
2047.1,37.994
2047.63,38.075
2047.81,38.156
2047.81,38.238
2048.25,38.319
2048.49,38.4
2048.86,38.48
2048.81,38.561
2049.16,38.645
2049.16,38.726
2049.76,38.807
2049.84,38.888
2050.02,38.969
2050.55,39.05
2050.87,39.131
2050.87,39.212
2051.55,39.296
2051.42,39.376
2052.21,39.457
2052.73,39.539
2053.1,39.62
2053.1,39.701
2053.66,39.782
2053.72,39.863
2053.77,39.947
2054.21,40.028
2054.67,40.109
2054.67,40.189
2055.37,40.27
2055.63,40.351
2056.01,40.432
2056.42,40.514
2056.84,40.597
2056.84,40.678
2057.3,40.76
2057.69,40.841
2057.97,40.922
2058.81,41.003
2059.04,41.083
2059.04,41.164
2059.25,41.245
2059.82,41.324
2060.04,41.405
2060.65,41.486
2061.22,41.568
2061.22,41.649
2061.63,41.73
2061.97,41.81
2062.55,41.891
2062.8,41.975
2063.06,42.056
2063.06,42.137
2063.68,42.218
2064.08,42.299
2064.23,42.38
2064.98,42.461
2064.99,42.542
2065.3,42.626
2065.3,42.706
2065.57,42.787
2065.97,42.868
2066.72,42.949
2067.1,43.03
2067.71,43.112
2067.71,43.193
2067.75,43.276
2068.21,43.357
2068.64,43.438
2069.28,43.52
2069.72,43.6
2069.72,43.681
2069.91,43.762
2070.22,43.843
2070.65,43.927
2071.24,44.008
2071.58,44.089
2071.58,44.17
2072.17,44.251
2072.46,44.333
2072.68,44.413
2073.22,44.494
2073.69,44.577
2073.69,44.658
2074.02,44.74
2074.48,44.821
2074.74,44.902
2075.29,44.983
2075.36,45.064
2075.36,45.145
2075.85,45.225
2076.33,45.309
2077.07,45.39
2077.22,45.471
2077.5,45.552
2077.5,45.633
2077.97,45.714
2078.22,45.795
2078.67,45.876
2078.93,45.96
2079.4,46.041
2079.4,46.121
2079.63,46.202
2080.42,46.283
2080.52,46.364
2081.14,46.445
2081.61,46.527
2081.61,46.61
2082.04,46.691
2082.07,46.772
2082.83,46.853
2083.03,46.935
2083.58,47.015
2083.58,47.096
2083.83,47.177
2084.39,47.261
2084.96,47.342
2085.43,47.423
2085.78,47.504
2086.49,47.585
2086.49,47.666
2086.73,47.747
2087.16,47.828
2087.47,47.911
2087.99,47.992
2088.45,48.073
2088.45,48.155
2089.05,48.236
2089.53,48.317
2089.7,48.398
2090.05,48.479
2090.7,48.563
2090.7,48.644
2091.16,48.724
2091.65,48.805
2092.1,48.886
2092.14,48.967
2092.81,49.048
2092.81,49.129
2093.3,49.213
2093.32,49.294
2094.07,49.375
2094.37,49.456
2094.77,49.537
2094.77,49.617
2095.13,49.698
2095.56,49.779
2096.05,49.86
2096.64,49.951
2096.87,50.033
2097.3,50.114
2097.3,50.195
2097.71,50.276
2098.26,50.357
2098.53,50.438
2099,50.52
2099.39,50.603
2099.39,50.692
2099.85,50.772
2100.46,50.854
2100.81,50.935
2101.13,51.016
2101.38,51.097
2101.38,51.178
2102.11,51.261
2102.58,51.342
2102.76,51.423
2103.44,51.505
2103.48,51.586
2103.98,51.666
2104.02,51.747
2104.4,51.828
2105.27,51.911
2105.65,51.992
2106.29,52.074
2106.67,52.155
2106.67,52.236
2107.03,52.317
2107.64,52.398
2108.04,52.478
2108.1,52.562
2108.85,52.643
2108.85,52.724
2108.86,52.805
2109.47,52.886
2109.6,52.967
2109.84,53.048
2110.37,53.129
2110.37,53.21
2110.59,53.294
2111.13,53.374
2111.77,53.455
2111.86,53.536
2112.42,53.617
2112.42,53.699
2113.06,53.78
2113.37,53.861
2113.92,53.944
2114.14,54.025
2114.31,54.106
2114.31,54.188
2114.68,54.268
2115.26,54.349
2115.69,54.43
2116.05,54.511
2116.37,54.594
2116.37,54.675
2116.68,54.757
2116.96,54.838
2117.49,54.919
2118.15,55
2117.99,55.08
2117.99,55.161
2118.52,55.244
2118.75,55.326
2119.42,55.407
2119.49,55.488
2119.96,55.569
2119.96,55.65
2120.37,55.731
2120.39,55.812
2120.82,55.896
2120.84,55.976
2121.18,56.057
2121.62,56.138
2121.53,56.219
2122.26,56.3
2122.34,56.381
2122.68,56.462
2123.2,56.544
2123.39,56.627
2123.39,56.708
2123.67,56.788
2124.04,56.869
2124.52,56.95
2124.81,57.032
2125.33,57.113
2125.33,57.194
2125.55,57.277
2125.94,57.358
2126.13,57.439
