Altitude [m],Time [s],,,,
2044.13,0.666,,,,
2043.94,0.762,,,,
2043.99,0.841,,,,
2044.04,0.92,,,,
2044.04,0.999,,,,
2043.98,1.078,,,,
2043.95,1.157,,,,
2043.94,1.235,,,,
2043.96,1.313,,,,
2043.96,1.395,,,,
2043.98,1.481,,,,
2043.98,1.56,,,,
2043.97,1.638,,,,
2043.82,1.717,,,,
2044.08,1.796,,,,
2044.08,1.874,,,,
2043.84,1.953,,,,
2044.07,2.034,,,,
2043.91,2.113,,,,
2043.88,2.192,,,,
2043.88,2.271,,,,
2043.89,2.349,,,,
2043.89,2.427,,,,
2043.8,2.506,,,,
2043.99,2.585,,,,
2043.93,2.673,,,,
2043.93,2.752,,,,
2043.99,2.831,,,,
2043.98,2.91,,,,
2043.81,2.989,,,,
2044.08,3.066,,,,
2044.08,3.145,,,,
2043.65,3.224,,,,
2044,3.303,,,,
2043.95,3.384,,,,
2043.8,3.463,,,,
2043.8,3.542,,,,
2043.97,3.619,,,,
2043.92,3.698,,,,
2043.9,3.777,,,,
2043.76,3.863,,,,
2043.96,3.942,,,,
2043.96,4.023,,,,
2044.01,4.102,,,,
2043.89,4.18,,,,
2043.75,4.259,,,,
2043.44,4.337,,,,
2043.44,4.416,,,,
2043.74,4.495,,,,
2043.46,4.574,,,,
2043.71,4.655,,,,
2043.71,4.733,,,,
2043.71,4.812,,,,
2043.82,4.891,,,,
2044.04,4.97,,,,
2043.86,5.056,,,,
2043.44,5.134,,,,
2043.73,5.213,,,,
2043.73,5.292,,,,
2043.8,5.373,,,,
2043.74,5.451,,,,
2043.8,5.53,,,,
2043.85,5.609,,,,
2043.85,5.688,,,,
2043.71,5.767,,,,
2044.05,5.844,,,,
2043.82,5.923,,,,
2043.88,6.005,,,,
2043.88,6.083,,,,
2043.86,6.162,,,,
2043.77,6.249,,,,
2043.98,6.327,,,,
2043.87,6.406,,,,
2043.86,6.484,,,,
2043.86,6.563,,,,
2043.99,6.642,,,,
2043.85,6.723,,,,
2044.25,6.802,,,,
2043.67,6.881,,,,
2043.67,6.959,,,,
2044.07,7.037,,,,
2043.81,7.116,,,,
2044.14,7.195,,,,
2044.04,7.274,,,,
2044.04,7.355,,,,
2044.05,7.441,,,,
2043.97,7.52,,,,
2043.63,7.599,,,,
2043.66,7.677,,,,
2043.77,7.756,,,,
2043.77,7.835,,,,
2043.43,7.913,,,,
2043.74,7.995,,,,
2043.56,8.074,,,,
2043.68,8.152,,,,
2043.68,8.23,,,,
2043.73,8.309,,,,
2043.79,8.388,,,,
2043.68,8.467,,,,
2043.81,8.546,,,,
2043.81,8.625,,,,
2043.85,8.713,,,,
2043.99,8.792,,,,
2043.69,8.87,,,,
2043.82,8.949,,,,
2043.99,9.028,,,,
2043.99,9.107,,,,
2043.64,9.186,,,,
2043.55,9.265,,,,
2043.57,9.346,,,,
2043.82,9.424,,,,
2043.82,9.503,,,,
2043.68,9.582,,,,
2044.07,9.661,,,,
2043.89,9.74,,,,
2043.9,9.819,,,,
2043.95,9.905,,,,
2043.95,9.986,,,,
2043.9,10.064,,,,
2043.78,10.143,,,,
2043.66,10.222,,,,
2043.98,10.301,,,,
2043.98,10.38,,,,
2043.79,10.459,,,,
2043.73,10.537,,,,
2043.86,10.619,,,,
2043.72,10.698,,,,
2043.56,10.777,,,,
2043.59,10.856,,,,
2043.67,10.935,,,,
2043.57,11.014,,,,
2043.59,11.1,,,,
2043.73,11.179,,,,
2043.73,11.259,,,,
2043.56,11.338,,,,
2043.65,11.417,,,,
2043.61,11.496,,,,
2043.91,11.575,,,,
2043.91,11.654,,,,
2043.54,11.732,,,,
2043.32,11.811,,,,
2043.47,11.892,,,,
2043.65,11.971,,,,
2043.53,12.05,,,,
2043.53,12.129,,,,
2043.42,12.208,,,,
2043.35,12.295,,,,
2043.51,12.374,,,,
2043.51,12.451,,,,
2043.51,12.533,,,,
2043.92,12.612,,,,
2043.52,12.691,,,,
2043.53,12.77,,,,
2043.51,12.849,,,,
2043.46,12.928,,,,
2043.46,13.006,,,,
2043.76,13.084,,,,
2043.76,13.166,,,,
2043.91,13.245,,,,
2043.6,13.324,,,,
2043.6,13.403,,,,
2043.68,13.49,,,,
2043.47,13.568,,,,
2043.54,13.646,,,,
2043.74,13.725,,,,
2043.74,13.807,,,,
2043.74,13.886,,,,
2043.66,13.965,,,,
2043.68,14.044,,,,
2043.61,14.123,,,,
2043.72,14.201,,,,
2043.72,14.28,,,,
2043.5,14.359,,,,
2043.77,14.435,,,,
2043.68,14.514,,,,
2043.62,14.593,,,,
2043.62,14.678,,,,
2043.51,14.756,,,,
2043.55,14.835,,,,
2043.4,14.914,,,,
2043.39,14.993,,,,
2043.49,15.075,,,,
2043.49,15.154,,,,
2043.41,15.233,,,,
2043.67,15.31,,,,
2043.49,15.389,,,,
2043.53,15.468,,,,
2043.53,15.547,,,,
2043.56,15.629,,,,
2043.55,15.708,,,,
2043.62,15.787,,,,
2043.52,15.873,,,,
2043.52,15.951,,,,
2043.54,16.03,,,,
2043.31,16.109,,,,
2043.56,16.188,,,,
2043.42,16.269,,,,
2043.53,16.348,,,,
2043.53,16.427,,,,
2043.45,16.505,,,,
2043.6,16.584,,,,
2043.53,16.663,,,,
2043.44,16.742,,,,
2043.44,16.821,,,,
2043.55,16.903,,,,
2043.32,16.98,,,,
2043.34,17.068,,,,
2043.48,17.146,,,,
2043.44,17.225,,,,
2043.44,17.304,,,,
2043.28,17.383,,,,
2043.35,17.462,,,,
2043.48,17.543,,,,
2043.53,17.622,,,,
2043.53,17.7,,,,
2043.61,17.779,,,,
2043.59,17.858,,,,
2043.56,17.937,,,,
2043.47,18.016,,,,
2043.47,18.095,,,,
2043.29,18.177,,,,
2043.35,18.263,,,,
2043.56,18.341,,,,
2043.6,18.42,,,,
2043.69,18.499,,,,
2043.69,18.578,,,,
2043.66,18.657,,,,
2043.67,18.736,,,,
2043.26,18.817,,,,
2043.46,18.895,,,,
2043.46,18.974,,,,
2043.61,19.053,,,,
2043.74,19.132,,,,
2043.35,19.211,,,,
2043.7,19.29,,,,
2043.7,19.368,,,,
2043.44,19.458,,,,
2043.58,19.535,,,,
2043.74,19.614,,,,
2043.71,19.693,,,,
2043.57,19.772,,,,
2043.57,19.851,,,,
2043.88,19.93,,,,
2043.52,20.008,,,,
2043.5,20.089,,,,
2043.41,20.195,,,,
2043.43,20.299,,,,
2043.75,20.404,,,,
2043.54,20.508,,,,
2043.4,20.614,,,,
2043.8,20.718,,,,
2043.33,20.823,,,,
2043.53,20.941,,,,
2043.5,21.045,,,,
2043.58,21.148,,,,
2043.66,21.251,,,,
2043.57,21.354,,,,
2043.59,21.457,,,,
2043.49,21.56,,,,
2043.4,21.704,,,,
2043.54,21.786,,,,
2043.52,21.867,,,,
2043.49,21.949,,,,
2043.7,22.03,,,,
2043.45,22.111,,,,
2043.45,22.193,,,,
2043.45,22.281,,,,
2043.35,22.365,,,,
2043.58,22.447,,,,
2043.49,22.528,,,,
2043.7,22.608,,,,
2043.42,22.689,,,,
2043.42,22.771,,,,
