Altitude [m],Time [s],,,
2049.45,0.666,,,
2049.31,0.75,,,
2049.31,0.829,,,
2049.31,0.908,,,
2049.48,0.987,,,
2049.23,1.064,,,
2049.12,1.143,,,
2049.26,1.222,,,
2049.38,1.301,,,
2049.38,1.382,,,
2049.41,1.461,,,
2049.39,1.54,,,
2049.32,1.618,,,
2049.31,1.697,,,
2049.31,1.775,,,
2049.1,1.854,,,
2049.24,1.933,,,
2049.37,2.014,,,
2049.31,2.093,,,
2049.31,2.171,,,
2049.22,2.25,,,
2049.4,2.329,,,
2049.23,2.407,,,
2049.22,2.486,,,
2049.49,2.565,,,
2049.49,2.646,,,
2049.44,2.724,,,
2049.32,2.803,,,
2049.27,2.882,,,
2049.42,2.961,,,
2049.42,3.04,,,
2049.35,3.118,,,
2049.51,3.196,,,
2049.17,3.278,,,
2049.14,3.356,,,
2049.14,3.435,,,
2049.75,0.67,,,
2049.68,0.748,,,
2049.52,0.827,,,
2049.52,0.906,,,
2049.52,0.985,,,
2049.25,1.063,,,
2049.27,1.144,,,
2049.17,1.223,,,
2049.34,1.302,,,
2049.34,1.381,,,
2049.29,1.459,,,
2049.45,1.538,,,
2049.32,1.616,,,
2049.14,1.695,,,
2049.14,1.776,,,
2049.22,1.855,,,
2049.64,1.934,,,
2049.45,2.013,,,
2049.58,2.091,,,
2049.58,2.169,,,
2049.5,2.248,,,
2049.62,2.327,,,
2049.65,2.408,,,
2049.16,2.487,,,
2049.57,2.566,,,
2049.57,2.643,,,
2049.42,2.722,,,
2049.6,2.801,,,
2049.73,2.88,,,
2049.82,2.959,,,
2049.82,3.038,,,
2049.74,3.119,,,
2049.57,3.197,,,
2049.71,3.275,,,
2049.68,3.354,,,
2049.68,3.433,,,
2049.59,3.512,,,
2049.65,3.591,,,
2049.93,3.67,,,
2049.81,3.75,,,
2049.53,3.829,,,
2049.53,3.907,,,
2049.74,3.986,,,
2049.82,4.065,,,
2049.62,4.144,,,
2049.5,4.222,,,
2049.5,4.3,,,
2049.52,4.382,,,
2049.57,4.46,,,
2049.54,4.539,,,
2049.7,4.618,,,
2049.7,4.697,,,
2049.5,4.775,,,
2049.64,4.854,,,
2049.56,4.932,,,
2049.38,5.011,,,
2049.56,5.093,,,
2049.56,5.171,,,
2049.43,5.25,,,
2049.6,5.328,,,
2049.81,5.407,,,
