Altitude [m],Time [s],,,,
2044.31,0.666,,,,
2044.28,0.751,,,,
2044.23,0.829,,,,
2044.23,0.908,,,,
2044,0.987,,,,
2044.02,1.065,,,,
2043.84,1.144,,,,
2043.65,1.223,,,,
2043.82,1.302,,,,
2043.82,1.383,,,,
2043.88,1.462,,,,
2044.25,1.541,,,,
2043.94,1.618,,,,
2044.31,1.697,,,,
2044.31,1.776,,,,
2044.16,1.855,,,,
2043.99,1.934,,,,
2044.08,2.015,,,,
2044.25,2.094,,,,
2044.25,2.172,,,,
2044.02,2.251,,,,
2044.43,2.33,,,,
2044.27,2.408,,,,
2044.26,2.487,,,,
2044.44,2.566,,,,
2044.44,2.648,,,,
2044.39,2.725,,,,
2044.37,2.804,,,,
2044.4,2.883,,,,
2044.32,2.962,,,,
2044.32,3.041,,,,
2044.05,3.119,,,,
2044.18,3.197,,,,
2043.94,3.276,,,,
2044.26,3.357,,,,
2044.11,3.436,,,,
2044.11,3.515,,,,
2044.23,3.594,,,,
2043.9,3.673,,,,
2044.32,3.75,,,,
2043.93,3.829,,,,
2043.93,3.908,,,,
2044.18,3.989,,,,
2044.29,4.068,,,,
2044.26,4.147,,,,
2044.46,4.226,,,,
2044.46,4.304,,,,
2044.32,4.382,,,,
2044.29,4.461,,,,
2044.07,4.54,,,,
2044.04,4.621,,,,
2044.08,4.7,,,,
2044.08,4.779,,,,
2044.18,4.857,,,,
2044.25,4.936,,,,
2044.02,5.014,,,,
2044.05,5.093,,,,
2044.05,5.172,,,,
2044.46,5.253,,,,
2044.25,5.331,,,,
2044.16,5.41,,,,
2043.92,5.489,,,,
2043.92,5.568,,,,
2044.17,5.647,,,,
2044.04,5.725,,,,
2044.29,5.804,,,,
2044.03,5.882,,,,
2044.19,5.963,,,,
2044.19,6.042,,,,
2044.32,6.121,,,,
2044.31,6.2,,,,
2044.08,6.279,,,,
2044.08,6.358,,,,
2044.08,6.435,,,,
2044.04,6.514,,,,
2043.94,6.596,,,,
2044.24,6.674,,,,
2044.41,6.753,,,,
2044.41,6.832,,,,
2044.37,6.91,,,,
2044.25,6.989,,,,
2044.18,7.067,,,,
2044.19,7.146,,,,
2044.28,7.228,,,,
2044.28,7.307,,,,
2044.24,7.385,,,,
2044.25,7.463,,,,
2044.18,7.542,,,,
2043.91,7.621,,,,
2043.91,7.7,,,,
2044.01,7.779,,,,
2044.03,7.86,,,,
2044.06,7.939,,,,
2044.1,8.016,,,,
2044.1,8.095,,,,
2044.17,8.174,,,,
2044.23,8.253,,,,
2044.29,8.332,,,,
2044,8.41,,,,
2044.14,8.488,,,,
2044.14,8.569,,,,
2044.13,8.648,,,,
2044.18,8.727,,,,
2044.13,8.806,,,,
2044.25,8.885,,,,
2044.25,8.963,,,,
2044.11,9.041,,,,
2044.04,9.12,,,,
2043.97,9.201,,,,
2044.2,9.28,,,,
2044.2,9.359,,,,
2043.85,9.437,,,,
2043.87,9.516,,,,
2043.95,9.594,,,,
2044.14,9.673,,,,
2044.01,9.752,,,,
2044.01,9.833,,,,
2043.94,9.912,,,,
2043.89,9.991,,,,
2043.96,10.068,,,,
2043.98,10.147,,,,
2043.98,10.226,,,,
2044.43,10.305,,,,
2044.06,10.384,,,,
2044.21,10.465,,,,
2044.07,10.544,,,,
2044.07,10.622,,,,
2044.01,10.701,,,,
2044.01,10.779,,,,
2044.36,10.858,,,,
2044.12,10.937,,,,
2043.94,11.016,,,,
2043.94,11.095,,,,
2044.03,11.175,,,,
2044,11.254,,,,
2044.14,11.333,,,,
2044.35,11.412,,,,
2044.35,11.491,,,,
2044.21,11.569,,,,
2044.26,11.648,,,,
2044.31,11.726,,,,
2044.45,11.807,,,,
2044.45,11.886,,,,
2044.29,11.965,,,,
2044.17,12.044,,,,
2043.89,12.122,,,,
2044.12,12.2,,,,
2044.16,12.279,,,,
2044.16,12.358,,,,
2044.31,12.439,,,,
2044.15,12.518,,,,
2044.13,12.597,,,,
2044.06,12.676,,,,
2044.06,12.753,,,,
2043.83,12.832,,,,
2044.05,12.911,,,,
2043.75,12.99,,,,
2043.98,13.071,,,,
2043.98,13.15,,,,
2043.96,13.229,,,,
2043.86,13.307,,,,
2043.72,13.385,,,,
2043.93,13.464,,,,
2043.74,13.543,,,,
2043.74,13.622,,,,
2044.11,13.701,,,,
2043.52,13.782,,,,
2043.85,13.86,,,,
2043.6,13.939,,,,
2043.6,14.018,,,,
2043.96,14.097,,,,
2043.73,14.176,,,,
2043.78,14.254,,,,
2043.72,14.332,,,,
2043.72,14.414,,,,
2043.69,14.493,,,,
2043.66,14.571,,,,
2043.68,14.65,,,,
2043.95,14.729,,,,
2043.65,14.808,,,,
2043.65,14.886,,,,
2043.83,14.965,,,,
2043.95,15.046,,,,
2043.88,15.125,,,,
2043.9,15.204,,,,
2043.9,15.283,,,,
2043.92,15.361,,,,
2043.87,15.439,,,,
2043.8,15.518,,,,
2043.68,15.597,,,,
