Altitude [m],Time [s]
2038.24,0.668
2038.37,0.752
2038.24,0.831
2038.72,0.909
2038.09,0.988
2037.93,1.067
2038.17,1.145
2037.89,1.231
2037.99,1.309
2037.99,1.391
2037.99,1.469
2037.86,1.548
2038,1.627
2038.21,1.705
2038.12,1.783
2038.12,1.862
2038.16,1.941
2037.94,2.019
2037.73,2.101
2038.05,2.179
2038.05,2.257
2037.95,2.336
2038.02,2.423
2037.92,2.502
2037.75,2.58
2037.93,2.659
2037.93,2.74
2037.84,2.819
2037.87,2.897
2037.92,2.975
2037.82,3.054
2037.82,3.133
2037.7,3.211
2037.85,3.29
2038.01,3.368
2037.84,3.449
2037.75,3.528
2037.75,3.614
2037.83,3.692
2038.06,3.771
2037.9,3.85
2038.05,3.928
2037.98,4.006
2037.98,4.085
2038.21,4.166
2037.95,4.245
2037.76,4.324
2038.24,4.402
2038.24,4.481
2038.1,4.559
2037.84,4.638
2038.06,4.716
2038.14,4.805
2038.13,4.883
2038.13,4.962
2037.97,5.041
2037.83,5.12
2038.18,5.197
2037.89,5.276
2037.89,5.355
2038.07,5.433
2037.7,5.515
2038.03,5.593
2038.14,5.671
2038.28,5.75
2038.28,5.829
2038.04,5.907
2037.83,5.986
2038.21,6.072
2038,6.153
2037.96,6.232
2037.96,6.31
2038.17,6.388
2037.88,6.467
2037.99,6.546
2038.06,6.625
2038.06,6.703
2037.9,6.781
2037.91,6.862
2038.07,6.941
2038.03,7.02
2038.03,7.098
2037.79,7.177
2038.09,7.263
2037.76,7.342
2037.95,7.419
2038.2,7.498
2038.2,7.579
2038.16,7.658
2037.89,7.737
2037.98,7.816
2038.26,7.894
2038.1,7.972
2038.07,8.051
2037.84,8.13
2038.02,8.211
2038.17,8.29
2037.82,8.368
2037.82,8.454
2037.8,8.532
2037.71,8.611
2037.76,8.689
2037.77,8.768
2037.73,8.847
2037.73,8.928
2037.77,9.007
2038,9.085
2038.06,9.163
2038.15,9.242
2038.15,9.321
2038.04,9.399
2038.29,9.478
2038.12,9.559
2038.1,9.645
2038.12,9.723
2038.12,9.802
2037.97,9.881
2038.07,9.959
2038.03,10.038
2037.86,10.117
2037.86,10.194
2038.14,10.276
2037.98,10.354
2037.98,10.433
2038.23,10.512
2037.99,10.591
2037.99,10.669
2037.95,10.747
2037.9,10.834
2037.76,10.913
2037.81,10.994
2038.05,11.073
2038.05,11.152
2037.82,11.23
2037.79,11.309
2037.96,11.387
2037.96,11.465
2037.96,11.544
2037.84,11.625
2037.85,11.704
2037.83,11.783
2038.08,11.862
2037.99,11.939
2037.96,12.025
2037.96,12.104
2037.96,12.183
2037.73,12.261
2037.84,12.343
2037.84,12.421
2038.23,12.499
2037.88,12.578
2037.92,12.657
2038.04,12.736
2037.77,12.814
2037.77,12.893
2038.03,12.974
2037.87,13.052
2037.8,13.131
2037.75,13.217
2037.93,13.296
2037.93,13.375
2037.89,13.453
2037.94,13.532
2038.05,13.613
2037.83,13.691
2037.83,13.77
2037.86,13.849
2037.81,13.928
2037.62,14.007
2037.63,14.085
2037.63,14.163
2037.87,14.242
2037.81,14.323
2037.87,14.409
2037.85,14.488
2037.89,14.567
2037.89,14.646
2038.12,14.725
2037.95,14.803
2038.03,14.881
2037.88,14.963
2038.19,15.042
2038.19,15.12
2037.91,15.199
2038.09,15.278
2038.06,15.356
2037.76,15.435
2037.76,15.513
2037.92,15.601
2038.01,15.68
2038.05,15.759
2037.81,15.837
2037.82,15.916
2037.82,15.994
2037.68,16.073
2037.7,16.152
2037.67,16.231
2037.72,16.312
2037.65,16.391
2037.58,16.47
2037.63,16.548
2037.54,16.627
2037.42,16.706
2037.33,16.785
2037.33,16.871
2037.19,16.952
2037.2,17.031
2037.1,17.11
2037.03,17.188
2037.17,17.267
2037.17,17.346
2036.86,17.425
2036.89,17.504
2036.7,17.585
2036.79,17.664
2036.79,17.742
2036.89,17.821
2036.86,17.9
2036.7,17.979
2036.85,18.065
2036.76,18.144
2036.76,18.225
2036.89,18.304
2036.94,18.382
2036.92,18.461
2036.98,18.54
2036.85,18.619
2036.85,18.698
2036.82,18.777
2037,18.857
2036.72,18.936
2036.72,19.015
2036.72,19.094
2036.6,19.173
2036.75,19.26
2036.61,19.339
2036.87,19.418
2036.45,19.494
2036.45,19.573
2036.73,19.652
2037.07,19.731
2036.69,19.81
2036.83,19.889
2036.83,19.968
2036.78,20.048
2036.73,20.127
2036.89,20.206
2036.88,20.285
2036.61,20.364
2036.61,20.45
2036.51,20.529
2036.73,20.608
2036.92,20.688
2036.91,20.767
2036.55,20.846
2036.55,20.925
2036.8,21.004
2036.66,21.083
2036.4,21.161
2036.33,21.24
2036.33,21.321
2036.56,21.4
2036.6,21.479
2036.75,21.558
2036.5,21.644
2036.82,21.723
2036.82,21.801
2036.36,21.88
2036.73,21.969
2036.7,22.051
2036.8,22.132
2036.75,22.213
2036.49,22.295
2036.49,22.376
2036.52,22.457
2036.61,22.539
2036.75,22.623
2036.57,22.704
2036.48,22.793
2036.48,22.874
2036.43,22.955
2036.52,23.035
2036.65,23.117
2036.73,23.198
2036.68,23.282
2036.34,23.363
2036.34,23.445
2036.63,23.526
2036.64,23.607
2036.7,23.689
2036.84,23.77
2036.75,23.851
2036.75,23.934
2036.75,24.024
2036.5,24.104
2036.46,24.185
2036.52,24.267
2036.46,24.348
2036.49,24.429
2036.49,24.511
2036.49,24.594
2036.36,24.676
2036.55,24.757
2036.83,24.838
2036.75,24.92
2036.75,25
2037.03,25.081
2036.78,25.165
2036.75,25.254
2036.78,25.335
2036.59,25.416
2036.64,25.498
2036.64,25.579
2036.75,25.66
2036.73,25.742
2036.84,25.825
2036.7,25.907
2036.72,25.988
2036.72,26.068
2036.65,26.15
2036.84,26.231
2036.76,26.312
2036.68,26.394
2036.64,26.485
2036.71,26.566
2036.71,26.647
2036.47,26.729
2036.61,26.81
2036.75,26.891
2036.6,26.973
2036.6,27.054
2036.5,27.138
2036.5,27.218
2036.4,27.299
2036.43,27.381
2036.6,27.462
2036.73,27.543
2036.66,27.625
2036.66,27.706
2036.68,27.798
2036.41,27.88
