Altitude [m],Time [s]
2031.03,0.668
2030.87,0.753
2030.72,0.831
2030.91,0.91
2030.91,0.989
2030.9,1.068
2030.7,1.146
2030.94,1.224
2030.84,1.303
2030.84,1.385
2031,1.463
2030.9,1.542
2030.84,1.62
2030.46,1.699
2030.46,1.778
2030.77,1.857
2030.7,1.935
2030.9,2.017
2030.49,2.096
2030.55,2.173
2030.55,2.252
2030.7,2.331
2030.6,2.41
2030.71,2.489
2030.77,2.567
2030.77,2.649
2030.88,2.726
2030.74,2.805
2030.85,2.884
2031,2.963
2030.82,3.042
2030.82,3.12
2030.85,3.198
2030.89,3.277
2030.72,3.358
2030.7,3.437
2030.7,3.516
2030.84,3.595
2030.89,3.674
2030.74,3.751
2030.54,3.83
2030.54,3.909
2030.47,3.99
2030.89,4.069
2030.57,4.148
2030.63,4.227
2030.6,4.305
2030.6,4.383
2030.56,4.462
2030.66,4.541
2030.6,4.622
2030.54,4.701
2030.54,4.78
2030.71,4.858
2030.54,4.937
2030.51,5.016
2030.7,5.094
2030.33,5.173
2030.33,5.255
2030.48,5.332
2030.47,5.411
2030.53,5.49
2030.56,5.569
2030.56,5.648
2030.6,5.726
2030.6,5.805
2030.64,5.886
2030.54,5.964
2030.47,6.043
2030.47,6.122
2030.75,6.201
2030.47,6.28
2030.5,6.358
2030.37,6.436
2030.37,6.515
2030.6,6.596
2030.55,6.675
2030.3,6.754
2030.18,6.833
2030.18,6.912
2030.23,6.989
2030.39,7.068
2030.44,7.147
2030.44,7.228
2030.48,7.307
2030.48,7.386
2030.33,7.464
2030.4,7.543
2030.35,7.622
2030.38,7.7
2030.38,7.779
2030.42,7.861
2030.4,7.939
2030.51,8.017
2030.3,8.096
2030.19,8.175
2030.19,8.254
2030.27,8.332
2030.36,8.411
2030.78,8.493
2030.58,8.57
2030.58,8.649
2030.77,8.728
2030.49,8.807
2030.31,8.886
2030.34,8.965
2030.34,9.042
2030.51,9.121
2030.42,9.203
2030.08,9.281
2030.38,9.36
2030.35,9.439
2030.35,9.518
2030.37,9.596
2030.54,9.675
2030.14,9.754
2030.3,9.835
2030.3,9.914
2030.34,9.993
2030.48,10.071
2030.46,10.149
2030.34,10.228
2030.56,10.307
2030.56,10.386
2030.51,10.467
2030.47,10.546
2030.56,10.625
2030.44,10.703
2030.44,10.782
2030.47,10.861
2030.47,10.94
2030.53,11.019
2030.49,11.1
2030.62,11.179
2030.62,11.257
2030.79,11.336
2030.46,11.415
2030.57,11.493
2030.41,11.572
2030.41,11.651
2030.51,11.732
2030.41,11.81
2030.66,11.889
2030.43,11.968
2030.43,12.047
2030.66,12.126
2030.61,12.205
2030.5,12.283
2030.31,12.364
2030.45,12.443
